der Mann ist hoch|the man is high
aggressives Verhalten|aggressive behavior
definitive Entscheidung|definitive decision
neue Kunden locken|attract new customers
Daten löschen|delete data
eine Mahlzeit einnehmen|have a meal
samt Zubehör|including accessories
den Plan vollziehen|carry out the plan
eine Wiederholung sehen|watch a rerun
finanzielle Mittel aufbringen|raise funds
einigermaßen zufrieden|somewhat satisfied
eine Mitteilung senden|send a message
ein Praktikum machen|do an internship
Daten verzeichnen|record data
Vorsicht walten lassen|exercise caution
eine Auskunft einholen|obtain information
den Bezirk betreten|enter the district
einen Bogen zeichnen|draw an arc
eine Entdeckung machen|make a discovery
Ferien planen|plan vacations
den General begrüßen|greet the general
eine Messe besuchen|attend a fair
sich scheiden lassen|get divorced
eine Pille schlucken|swallow a pill
südlich von München|south of Munich
das Buch zurücklegen|put the book back
eine Anordnung treffen|make an arrangement
Deutsch beibringen|teach German
ein großes Ereignis bevorstehen|an important event is imminent
der Chemiker forscht|the chemist researches
eine Erscheinung sehen|see an appearance
die Treppe heruntergehen|go down the stairs
hinterherlaufen|run after
kostenlose Proben|free samples
die Maus klicken|click the mouse
Unabhängigkeit erlangen|gain independence
eine Vene finden|find a vein
hoher Bestand|high stock
einzigartige Gelegenheit|unique opportunity
Kohle abbauen|mine coal
reelle Zahlen|real numbers
auf einem Pferd reiten|ride a horse
ein Smartphone benutzen|use a smartphone
die Werkstatt betreten|enter the workshop
die Kälte spüren|feel the cold
in ein Kloster gehen|go into a monastery
gute Laune haben|be in a good mood
eine Frage nachfragen|inquire about a question
die Toilette benutzen|use the toilet
ein Unglück verhindern|prevent a disaster
den Termin verlegen|postpone the appointment
die Eröffnung feiern|celebrate the opening
eine Fragestellung klären|clarify a problem
ein Grieche spricht|a Greek speaks
industrielle Produktion|industrial production
eine Situation konfrontieren|confront a situation
der Sex genießen|enjoy the sex
wovon träumen|dream about what
absurde Situation|absurd situation
die Miete zahlen|pay the rent
einer Gruppe angehören|belong to a group
einen Apfel essen|eat an apple
autonome Region|autonomous region
blondes Haar|blond hair
anstrengender Tag|exhausting day
ein Bär brummt|a bear growls
hinzu kommt|in addition comes
lateinische Sprache|Latin language
ein Menschenrecht verteidigen|defend a human right
mühsame Arbeit|laborious work
präzise Messung|precise measurement
reiner Wahnsinn|pure madness
einen Anruf tätigen|make a call
es steht fest|it is certain
der Sieger jubelt|the winner celebrates
eine Unterkunft buchen|book accommodation
eine Verknüpfung erstellen|create a link
weich anfühlen|feel soft
düstere Stimmung|gloomy mood
Energie freisetzen|release energy
einen Kompromiss finden|find a compromise
der Maßstab setzen|set the standard
eine Szene skizzieren|sketch a scene
starr vor Angst|stiff with fear
einen Vorhang aufziehen|draw a curtain
die Währung wechseln|exchange currency
die Wüste durchqueren|cross the desert
eine Person berufen|appoint a person
in einen Konflikt eingreifen|intervene in a conflict
eine Tasse Tee|a cup of tea
eine Aufgabe unterstellen|assign a task
an einem Geschäft vorbeigehen|pass by a shop
eine Flamme entzünden|ignite a flame
Frühling genießen|enjoy spring
langjährige Erfahrung|long-standing experience
das Maximum erreichen|reach the maximum
das Militär rufen|call the military
oftmals vorkommen|occur frequently
den Papst sehen|see the pope
ein Profi spielen|a professional plays
die Aufregung spüren|feel the excitement
ein Gedicht aufsagen|recite a poem
Berge erklimmen|climb mountains
aus einem Traum erwachen|wake from a dream
durch den Nebel|through the fog
einen Terroranschlag verhindern|prevent a terrorist attack
eine Idee andeuten|suggest an idea
deutschsprachige Literatur|German-speaking literature
einen Embryo sehen|see an embryo
die Muskulatur trainieren|train the muscles
ein Defizit abbauen|reduce a deficit
eine Fähigkeit entfalten|unfold a skill
einen Ermittler beauftragen|hire an investigator
ein hässliches Gesicht|an ugly face
eine Hypothese aufstellen|formulate a hypothesis
unverändert bleiben|remain unchanged
woran denken|what to think about
hereinkommen in ein Zimmer|come into a room
laut heulen|howl loudly
zurücktreten aus dem Amt|resign from office
demnächst verfügbar|available shortly
einen Nagel einschlagen|hammer in a nail
einen Rock tragen|wear a skirt
eine Übernahme planen|plan a takeover
akademischer Erfolg|academic success
aufwendige Feier|extravagant celebration
die Situation einschätzen|assess the situation
hohe Kapazität|high capacity
der Regierungschef spricht|the head of government speaks
es regnet|it is raining
Rohstoffe abbauen|extract raw materials
für Frieden beten|pray for peace
den Fokus setzen|set the focus
in der Ecke hocken|crouch in the corner
ein Informationssystem entwickeln|develop an information system
liberale Politik|liberal politics
musikalisches Talent|musical talent
ein Pfarrer predigt|a pastor preaches
eine Provinz besuchen|visit a province
in tiefer Trauer|in deep grief
den Aufsichtsrat wählen|elect the supervisory board
ein Gerücht verbreiten|spread a rumor
auf dem Boden kriechen|crawl on the floor
auf dem Sofa sitzen|sit on the sofa
ein Urlauber kommt|a vacationer comes
einen Blick abwenden|turn away a gaze
eine Aufführung sehen|watch a performance
ein Huhn füttern|feed a chicken
die Relation berechnen|calculate the relation
ruhig schlafen|sleep peacefully
eine Steigerung erzielen|achieve an increase
ein Vorfall melden|report an incident
im Vorfeld klären|clarify in advance
die Ankunft erwarten|await the arrival
eine Auflösung suchen|seek a dissolution
einem Hindernis ausweichen|evade an obstacle
ein Paket senden|send a parcel
das Zimmer putzen|clean the room
eine variable Größe|a variable size
Nahrung zuführen|supply food
eine Akademie besuchen|attend an academy
der Ausgangspunkt der Reise|the starting point of the journey
einen Berater konsultieren|consult a consultant
Interesse erregen|arouse interest
letztendlich entscheiden|ultimately decide
proportional verteilen|distribute proportionally
alle Kräfte erschöpfen|exhaust all resources
eine Frist setzen|set a deadline
einem Problem gegenüberstehen|face a problem
operative Maßnahmen|operative measures
einen Probanden testen|test a subject
eine Qualifikation erlangen|obtain a qualification
eine Schlange sehen|see a snake
eine schräge Linie|a diagonal line
verehrte Gäste|honored guests
wieviel kostet es|how much does it cost
Reise nach Belgien|trip to Belgium
eine Einleitung schreiben|write an introduction
gefangen sein|be captive
ein neues Hobby|a new hobby
ein Möbelstück kaufen|buy a piece of furniture
der Lärm nervt|the noise annoys
restliche Zeit|remaining time
eine Sanktion verhängen|impose a sanction
Täuschung vermeiden|avoid deception
eine Zone betreten|enter a zone
jemandem etwas antun|do something to someone
klassische Architektur|classic architecture
die Biologie studieren|study biology
einmalige Gelegenheit|unique opportunity
irgendein Problem|some problem
ein stabiler Kreislauf|a stable circulation
ein Lösungsmittel verwenden|use a solvent
ein PC reparieren|repair a computer
das Protokoll lesen|read the minutes
unsichtbar bleiben|remain invisible
Emotionen verdrängen|suppress emotions
die Stadt vernichten|destroy the city
vorläufige Entscheidung|temporary decision
einer Gefahr weichen|yield to danger
eine akute Krankheit|an acute illness
ein Musik-Album|a music album
chronische Schmerzen|chronic pain
die Justiz reformieren|reform the judiciary
zusammenkommen zu einer Sitzung|to meet for a meeting
ein spannendes Abenteuer|an exciting adventure
den Ozean erforschen|to explore the ocean
ein Flügel wachsen|a wing grows
einen Teppich kaufen|buy a carpet
touristische Sehenswürdigkeiten|touristic sights
Filme werten|to rate movies
geografische Karte|geographic map
den Hang hinunter|down the slope
Reise nach Ägypten|trip to Egypt
lauter Applaus|loud applause
deutliche Ausprägung|clear shaping
einen Block zeichnen|draw a block
das Wasser rauscht|the water rushes
Gegenstände tauschen|exchange items
glücklich zusammenleben|live happily together
ein Budget erstellen|create a budget
frisches Gemüse|fresh vegetables
gültiger Vertrag|valid contract
jegliche Hilfe|any help
ein Gespräch mitbekommen|catch a conversation
ein großer Skandal|a big scandal
aus dem Raum weggehen|leave the room
eine Abgabe machen|make a delivery
Blumen blühen|flowers bloom
israelische Politik|Israeli politics
einen Nachweis erbringen|provide proof
eine Steuerung entwickeln|develop a control system
ein Buch zurückgeben|return a book
ein Aufenthalt im Hotel|a stay in the hotel
das Telefon auflegen|hang up the phone
einen Stuhl kippen|tilt a chair
vergebliche Mühe|futile effort
den Boden wischen|mop the floor
eine Beurteilung schreiben|write a judgment
einen Beweis erbringen|produce evidence
folglich handeln|act consequently
der Hörer des Radios|the radio listener
der Prinz spricht|the prince speaks
ein großer Radius|a large radius
ein Schaf sehen|see a sheep
schuldig bekennen|plead guilty
ein Tagebuch führen|keep a diary
auf ein Ziel zielen|aim at a target
elementare Kenntnisse|basic knowledge
nebenbei arbeiten|work on the side
ein Ökonom analysiert|an economist analyzes
ein Versprechen halten|keep a promise
ein Werkzeug benutzen|use a tool
ein Adjektiv lernen|learn an adjective
die Bremse betätigen|apply the brake
ein Fenster einbauen|install a window
das finale Spiel|the final game
ein kaltes Getränk|a cold drink
hierzulande bekannt|known around here
physiologische Prozesse|physiological processes
eine Unternehmung gründen|start a company
eine Geschichte vorlesen|read a story aloud
ein Recht berechtigen|entitle a right
ein Bruch heilen|heal a fracture
endlose Möglichkeiten|endless possibilities
die Erweiterung planen|plan the expansion
eine Lüge entlarven|expose a lie
großer Reichtum|great wealth
ein Schema entwickeln|develop a scheme
Sonnenlicht spiegeln|reflect sunlight
städtische Gebiete|urban areas
sich wandeln|to change
harmloses Spiel|harmless game
reichlich essen|eat plenty
mit Problemen ringen|struggle with problems
spektakuläres Ereignis|spectacular event
die Wirtschaft stabilisieren|stabilize the economy
ein Strich ziehen|draw a line
der Wirt serviert|the innkeeper serves
eine Addition machen|perform an addition
Gerüchte besagen|rumors say
viel Geduld|much patience
die Innenstadt erkunden|explore the town center
eine Konstruktion entwerfen|design a construction
ein Lehrbuch lesen|read a textbook
im Wettkampf siegen|win in the competition
eine Stichprobe nehmen|take a sample
die Wäsche trocknen|dry the laundry
einen Vorsprung haben|have a lead
vorwiegend verwenden|mainly use
eine Tat bekennen|confess a deed
dauernd anwesend|constantly present
eigenständig arbeiten|work independently
elegante Kleidung|elegant clothing
rechtliche Haftung|legal liability
mutmaßlicher Täter|suspected perpetrator
vergleichsweise klein|comparatively small
vermehrt auftreten|occur more frequently
einen Fehler bedauern|regret a mistake
sich auf eine Reise begeben|embark on a journey
eine Prüfung durchgehen|go through an exam
Regeln vorschreiben|dictate rules
sich etwas zutrauen|dare to do something
abseits stehen|stand offside
asymmetrische Form|asymmetric shape
bescheiden leben|live modestly
aus dem Gedächtnis entfallen|slip from memory
FIFA Turnier|FIFA tournament
emotionale Hemmung|emotional inhibition
ein gemütliches Schlafzimmer|a cozy bedroom
eine Tragödie erleben|experience a tragedy
eine Wunde heilen|heal a wound
achtzehn Jahre|eighteen years
das totale Chaos|total chaos
eine goldene Krone|a golden crown
die Augen reiben|rub the eyes
ein Reporter berichtet|a reporter reports
einen Schluck Wasser|a sip of water
einen Schock erleiden|suffer a shock
eine Idee aufschreiben|write down an idea
jemanden reizen|annoy someone
ein Attribut bestimmen|determine an attribute
eine Packung aufreißen|tear open a package
eine Diagnose stellen|make a diagnosis
