adashmoq[sound:adashmoq_1.mp3]                         |блуждать, заблудиться
tishlamoq[sound:tishlamoq_1.mp3]                       |кусать, откусить, прикусывать, прикусить, укусить
tinglamoq[sound:tinglamoq_1.mp3]                       |слушать, внимать
tobut[sound:tobut_1.mp3]                               |гроб
tok[sound:tok_1.mp3]                                   |виноград [растение]
tokcha[sound:tokcha_1.mp3]                             |1. ниша; 2. полка
tol[sound:tol_1.mp3]                                   |ива остролистная
tola[sound:tola_1.mp3]                                 |волокно, волосок, нить
tolqon[sound:tolqon_1.mp3]                             |толокно
tom[sound:tom_1.mp3]                                   |крыша
tomir[sound:tomir_1.mp3]                               |1. жила; 2. кровеносный сосуд; 3. пульс
tomizmoq[sound:tomizmoq_1.mp3]                         |капать, лить каплями
tommoq[sound:tommoq_1.mp3]                             |капать, падать каплями
tomon[sound:tomon_1.mp3]                               |1. сторона, направление; 2. край, сторона
tomoq[sound:tomoq_1.mp3]                               |горло, глотка, гортань
tomosha[sound:tomosha_1.mp3]                           |1. зрелище, представление; 2. забава, развлечение
tomoshabin[sound:tomoshabin_1.mp3]                     |зритель
tomchi[sound:tomchi_1.mp3]                             |капля
tomchilamoq[sound:tomchilamoq_1.mp3]                   |капать, крапать, накрапывать
topishmoq[sound:topishmoq_1.mp3]                       |загадка
topmoq[sound:topmoq_1.mp3]                             |находить, найти, отыскивать
topshiriq[sound:topshiriq_1.mp3]                       |задание, поручение
topshirmoq[sound:topshirmoq_1.mp3]                     |1. вручать, вручить, передавать, передать; 2. сдавать, сдать; 3. поручать, поручит
toqat[sound:toqat_1.mp3]                               |терпение, выдержка
toqat qilmoq[sound:toqat_qilmoq_1.mp3]                 |терпеть
tor[sound:tor_1.mp3]                                   |1. узкий ; 2. тесный
toraymoq[sound:toraymoq_1.mp3]                         |суживаться, делаться тесным, узким
tortmoq[sound:tortmoq_1.mp3]                           |тянуть, потянуть, вытягивать, вытянуть
totmoq[sound:totmoq_1.mp3]                             |попробовать навкус
tovon[sound:tovon_1.mp3]                               |пята, пятка
tovoq[sound:tovoq_1.mp3]                               |блюдо
tovuq[sound:tovuq_1.mp3]                               |курица
tovus[sound:tovus_1.mp3]                               |павлин
tovush[sound:tovush_1.mp3]                             |1. голос; 2. звук
toy[sound:toy_1.mp3]                                   |стригун, стригунок [жеребёнок]
toychoq[sound:toychoq_1.mp3]                           |жеребёночек
toza[sound:toza_1.mp3]                                 |чистый, опрятный
tozalamoq[sound:tozalamoq_1.mp3]                       |чистить, почистить, очистить, очищать
tozalik[sound:tozalik_1.mp3]                           |чистота, опрятность
togʻ[sound:tog‘_1.mp3]                                 |гора
togʻa[sound:tog‘a_1.mp3]                               |дядя
togʻora[sound:tog‘ora_1.mp3]                           |большая чашка, большая миска, таз
tosh[sound:tosh_1.mp3]                                 |камень
toshbaqa[sound:toshbaqa_1.mp3]                         |черепаха
toshmoq[sound:toshmoq_1.mp3]                           |1. разливаться, выходить изберегов; 2. переливаться через край; 3. появляться [о веснушках, сыпи и т. п. ]
tong[sound:tong_1.mp3]                                 |рассвет
tugamoq[sound:tugamoq_1.mp3]                           |кончаться, оканчиваться, заканчиваться, завершаться
tugma[sound:tugma_1.mp3]                               |пуговица
tugmacha[sound:tugmacha_1.mp3]                         |пуговка
tuk[sound:tuk_1.mp3]                                   |волосок [на теле], пушок
tulki[sound:tulki_1.mp3]                               |лиса, лисица
tumov[sound:tumov_1.mp3]                               |насморк
tumshuq[sound:tumshuq_1.mp3]                           |клюв, нос
tun[sound:tun_1.mp3]                                   |ночь
tungi[sound:tungi_1.mp3]                               |ночной
tunuka[sound:tunuka_1.mp3]                             |листовое [кровельное] железо
tup[sound:tup_1.mp3]                                   |1. куст растения; 2. куст
tuproq[sound:tuproq_1.mp3]                             |1. земля, глина; 2. почва
turar joy[sound:turar_joy_1.mp3]                       |квартира, жильё
turmoq[sound:turmoq_1.mp3]                             |1. стоять; 2. вставать, встать, подниматься, подняться
turmush[sound:turmush_1.mp3]                           |жизнь, быт
turna[sound:turna_1.mp3]                               |журавль
turp[sound:turp_1.mp3]                                 |редька
turtki[sound:turtki_1.mp3]                             |толчок, удар
turtmoq[sound:turtmoq_1.mp3]                           |толкать, подталкивать
turshak[sound:turshak_1.mp3]                           |сушёный урюк
tut[sound:tut_1.mp3]                                   |1. тутовое дерево; 2. плод тутового дерева
tutamoq[sound:tutamoq_2.mp3]                           |дымиться, дымить, тлеть
tutmoq[sound:tutmoq_2.mp3]                             |ловить, поймать, схватить, хватать
