of|IO|The color of the car is red.
beneficence|NN|The beneficence of the donor was appreciated.
etymological|JJ|They studied the etymological roots of words.
hoosier|JJ|He had a Hoosier accent.
soviet-era|JJ|The building had a Soviet-era design.
calcification|NN|They found calcification in the pipes.
chipset|NN|They upgraded the computer's chipset.
tax-paying|JJ|The tax-paying citizens protested.
ladyship|NN|Her ladyship was well respected.
neutrally|RR|He responded neutrally to the question.
beachside|NN|They bought a beachside property.
watercraft|NN|The watercraft glided across the lake.
lump-sum|JJ|He received a lump-sum payment.
interglacial|JJ|They studied interglacial periods.
polyglot|NN|The polyglot spoke six languages.
denude|VV0|They plan to denude the area for construction.
blooded|JJ|He was a cold-blooded killer.
keen|VV0|They keen to join the team.
imprecision|NN|The imprecision in his work was noted.
magister|NN|The magister taught at the university.
rock-and-roll|JJ|They played rock-and-roll music.
slavish|JJ|His slavish devotion was clear.
subject-matter|NN|The subject-matter was complex.
smokehouse|NN|They visited the old smokehouse.
traded|JJ|The traded items were valuable.
vim|NN|He was full of vim and vigor.
onesie|NN|The baby wore a cute onesie.
paroxysm|NN|He had a paroxysm of laughter.
sauropod|NN|The sauropod was massive.
adventuresome|JJ|They embarked on an adventuresome journey.
cocker|NN|The cocker spaniel was playful.
fishmonger|NN|The fishmonger sold fresh seafood.
home-building|NN|The home-building project was underway.
straight-a|JJ|She was a straight-A student.
practicing|NN|His practicing paid off in the end.
commutation|NN|He requested a commutation of his sentence.
father-daughter|JJ|They had a strong father-daughter bond.
long-form|JJ|The documentary was long-form journalism.
sulky|JJ|The child was sulky after the argument.
neighborly|RR|They acted neighborly toward each other.
anti-capitalist|JJ|They supported anti-capitalist policies.
random|NN|The random was not chosen.
underpowered|JJ|The car felt underpowered.
taxonomist|NN|The taxonomist classified new species.
privateer|NN|The privateer attacked enemy ships.
otolaryngology|NN|He specialized in otolaryngology.
one-child|JJ|They had a one-child policy.
self-satisfaction|NN|His self-satisfaction was obvious.
transitive|JJ|They studied transitive verbs.
listlessly|RR|He wandered listlessly through the halls.
adroit|JJ|His adroit handling of the situation was impressive.
cogeneration|NN|They invested in cogeneration technology.
eosinophil|NN|They counted eosinophil cells in the sample.
gyrus|NN|The gyrus is a part of the brain.
stone-cold|JJ|He was a stone-cold professional.
quote-unquote|JJ|He used a quote-unquote phrase sarcastically.
paperboy|NN|The paperboy delivered the news.
fettuccine|NN|They made fettuccine for dinner.
two-door|JJ|He bought a two-door sedan.
flub|VV0|He tends to flub his lines.
narco|NN|The narco was captured by the authorities.
nicaraguan|NN|The Nicaraguan delegation arrived.
uncountable|JJ|The number of stars was uncountable.
hitched|JJ|The trailer was hitched to the truck.
stir-fried|JJ|They served stir-fried vegetables.
deregulated|JJ|The industry was deregulated.
decomposed|JJ|The decomposed matter was found in the soil.
cross-contamination|NN|They were worried about cross-contamination.
tenancy|NN|The tenancy agreement was signed.
late-stage|JJ|He was in the late-stage of the disease.
rhyming|NN|The rhyming scheme was simple.
rummy|NN|They played rummy all night.
graviton|NN|They searched for the elusive graviton.
vellum|NN|The document was written on vellum.
pockmarked|JJ|The wall was pockmarked with holes.
castor|NN|They used castor oil for the remedy.
brainwashing|NN|The cult was accused of brainwashing.
work-in-progress|NN|The book was a work-in-progress.
flimsy|NN|The excuse was flimsy at best.
awakening|JJ|It was an awakening moment for her.
anti-vaccine|JJ|They were part of the anti-vaccine movement.
night-time|JJ|The night-time view was stunning.
two-level|JJ|They bought a two-level house.
crisp-tender|JJ|The vegetables were cooked to a crisp-tender perfection.
outsourced|JJ|The job was outsourced to a different company.
decryption|NN|They worked on decryption techniques.
interment|NN|The interment was scheduled for noon.
headcount|NN|They took a headcount before leaving.
snakeskin|NN|She wore a snakeskin belt.
antidiscrimination|NN|They fought for antidiscrimination laws.
enthrone|VV0|They will enthrone the new king tomorrow.
tampering|NN|They suspected tampering with the evidence.
helpfulness|NN|Her helpfulness was appreciated.
cinder-block|JJ|They built a cinder-block wall.
remorseless|JJ|The criminal was remorseless.
bloodlust|NN|The gladiators had a bloodlust.
compassionately|RR|She spoke compassionately to the child.
thespian|NN|The thespian delivered a powerful performance.
superwoman|NN|She was the superwoman of the team.
f-word|NN|He shouted the f-word in anger.
cliched|JJ|The movie was full of cliched moments.
recording|JJ|The recording device was on.
widow|VV0|The war widow received support.
crime-fighting|JJ|They were a crime-fighting duo.
off-the-cuff|JJ|His off-the-cuff remarks were surprising.
blitzkrieg|NN|The blitzkrieg was fast and devastating.
strictness|NN|The strictness of the rules was noted.
inapplicable|JJ|The rule was inapplicable in this case.
near-total|JJ|The damage was near-total.
tinkle|NN|The tinkle of the bell was soft.
biking|NN|Biking is a great exercise.
rubella|NN|Rubella is a contagious disease.
confocal|JJ|They used a confocal microscope.
non-standard|JJ|The equipment was non-standard.
papery|JJ|The leaves felt papery.
herbed|JJ|She prepared herbed chicken for dinner.
topping|JJ|She added a topping layer to the cake.
reconstituted|JJ|The soup was made from reconstituted ingredients.
sleepwalker|NN|The sleepwalker wandered through the house.
ad-hoc|JJ|They formed an ad-hoc committee.
snake-like|JJ|The creature had a snake-like appearance.
krill|NN|Whales feed on krill.
sowing|NN|The sowing of seeds began in spring.
chagrin|VV0|He tried not to chagrin his parents.
bulimic|JJ|She struggled with bulimic tendencies.
venerated|JJ|The old tree was venerated by locals.
twenty-second|MC|He finished in twenty-second place.
bent|NN|The bent in the pipe caused issues.
reverential|JJ|She spoke in a reverential tone.
awfulness|NN|The awfulness of the situation was clear.
trivially|RR|He solved the problem trivially.
fretful|JJ|The fretful child cried all night.
callously|RR|He callously ignored her feelings.
heh-heh|UH|Heh-heh, that was funny.
microenvironment|NN|Cells thrive in a specific microenvironment.
saccharin|NN|They used saccharin as a sweetener.
shivering|JJ|The shivering puppy needed warmth.
hymen|NN|The hymen is a membrane.
anti-imperialist|JJ|The speech was anti-imperialist.
living-room|NN|They gathered in the living-room.
inanity|NN|The inanity of the comment was surprising.
treble|NN|He adjusted the treble on the sound system.
felonious|JJ|He was involved in felonious activities.
discovered|JJ|The discovered artifact was ancient.
menthol|NN|Menthol is used in cough drops.
whiff|VV0|He caught a whiff of fresh bread.
gawky|JJ|The gawky teenager felt awkward.
afterschool|JJ|They joined an afterschool club.
collegian|NN|The collegian studied late into the night.
ganache|NN|The cake was topped with rich ganache.
witticism|NN|His witticism made everyone laugh.
cyborg|JJ|The movie featured a cyborg villain.
originalist|NN|The originalist defended the constitution.
quad-core|JJ|He upgraded to a quad-core processor.
self-injury|NN|She struggled with self-injury.
jollies|NN|He got his jollies from playing pranks.
encroaching|JJ|The encroaching darkness worried them.
galilean|JJ|The Galilean moons are fascinating.
pincer|NN|The crab's pincer snapped shut.
beanstalk|NN|Jack climbed the beanstalk.
role-play|NN|They engaged in a role-play exercise.
curly-haired|JJ|The curly-haired girl was cheerful.
vesting|NN|He checked his vesting schedule.
ornately|RR|The room was ornately decorated.
hereabouts|RR|The treasure is hidden hereabouts.
conjunto|NN|They danced to conjunto music.
fledge|VV0|The young birds are ready to fledge.
exhibitionist|NN|The exhibitionist attracted attention.
anti-racist|JJ|They organized an anti-racist rally.
mascarpone|NN|She made a mascarpone dessert.
incompletion|NN|The incompletion of the project was disappointing.
triple-digit|JJ|They reported triple-digit growth.
microfilm|VV0|They microfilm old documents.
pulsed|JJ|The pulsed laser was effective.
buttonhole|NN|The buttonhole was too small.
blood-curdling|JJ|She let out a blood-curdling scream.
perfidy|NN|His perfidy was unforgivable.
show-and-tell|JJ|The show-and-tell presentation was engaging.
cloudiness|NN|The cloudiness obscured the view.
epidural|JJ|She opted for an epidural during labor.
gimlet|NN|He ordered a gimlet at the bar.
nubian|JJ|They studied Nubian history.
dipstick|NN|He checked the oil with a dipstick.
yearning|JJ|She had a yearning look in her eyes.
horn|VV0|He used a horn to alert the others.
infeasible|JJ|The plan was infeasible from the start.
reversibility|NN|They discussed the reversibility of the process.
beside|RR|She sat beside him.
snobbish|JJ|Her snobbish attitude was annoying.
inelegant|JJ|The solution was effective but inelegant.
grouch|NN|The old man was known as a grouch.
ironical|JJ|It was ironical that he failed.
blinded|JJ|He was blinded by the sun.
prebiotic|JJ|She included prebiotic foods in her diet.
hepatocyte|NN|They studied hepatocyte functions.
consonance|NN|The consonance in the music was beautiful.
toppling|NN|The toppling of the tower was inevitable.
familiarly|RR|She spoke familiarly with everyone.
tollbooth|NN|They paid the fee at the tollbooth.
baathist|JJ|The Baathist regime was oppressive.
explained|JJ|The explained concept was clear.
cruncher|NN|He was a number cruncher at the firm.
zen-like|JJ|She maintained a zen-like calm.
repack|VV0|They need to repack their bags.
raconteur|NN|He was a skilled raconteur.
front-facing|JJ|The camera was front-facing.
stapes|NN|The stapes is a bone in the ear.
inoperative|JJ|The machine was inoperative.
wile|VV0|He tried to wile his way out of trouble.
wayfarer|NN|The wayfarer traveled alone.
near-fatal|JJ|He had a near-fatal accident.
bier|NN|The body lay on the bier.
anthropic|JJ|The theory had an anthropic basis.
unseeing|JJ|He had an unseeing gaze.
perfumer|NN|The perfumer created a new scent.
non-sectarian|JJ|The school was non-sectarian.
regulative|JJ|The regulative framework was complex.
clean|RR|He wiped the surface clean.
creamer|NN|She added creamer to her coffee.
fist|VV0|He tried to fist the food into the jar.
pictograph|NN|The ancient pictograph was intriguing.
sippy|JJ|The child drank from a sippy cup.
anointing|NN|The anointing ceremony was sacred.
tutee|NN|The tutee worked hard to improve.
invitee|NN|Every invitee arrived on time.
public/private|JJ|The meeting was a public/private partnership.
brazier|NN|The brazier kept the room warm.
chained|JJ|The dog was chained to the post.
vindicated|JJ|She felt vindicated by the results.
jelly-roll|JJ|They baked a jelly-roll cake.
scattershot|NN|Their approach was scattershot.
rezone|VV0|They planned to rezone the area.
marketeer|NN|He was a street marketeer.
piezoelectric|JJ|They used a piezoelectric device.
solenoid|NN|The solenoid was faulty.
interest-only|JJ|They had an interest-only mortgage.
yesterday|NN|Yesterday was her birthday.
candy|VV0|They decided to candy the fruit.
disarmingly|RR|He smiled disarmingly.
sputter|NN|The engine's sputter worried him.
long-delayed|JJ|The long-delayed flight finally departed.
ignominy|NN|He lived in ignominy after the scandal.
slanting|JJ|The slanting roof was leaking.
dual-core|JJ|He bought a dual-core laptop.
roofline|NN|The roofline was unique.
secularize|VV0|They wanted to secularize the school.
plainclothes|JJ|The plainclothes officer blended in.
overdrawn|JJ|His account was overdrawn.
octogenarian|NN|The octogenarian shared his wisdom.
heavy-metal|JJ|He enjoyed heavy-metal music.
tortellini|NN|They served tortellini for dinner.
fish-eye|JJ|The camera had a fish-eye lens.
exhibitionism|NN|His exhibitionism was apparent.
pitting|NN|The pitting on the metal was noticeable.
all-seeing|JJ|The statue had an all-seeing eye.
untangled|JJ|The untangled wires were neatly arranged.
temptress|NN|The temptress lured him in.
dearie|NN|He called her "dearie" affectionately.
overeager|JJ|The overeager student raised her hand first.
nonsurgical|JJ|They opted for a nonsurgical treatment.
paschal|JJ|The Paschal feast was a celebration.
home-improvement|JJ|They watched a home-improvement show.
flycatcher|NN|The flycatcher perched on a branch.
around-the-clock|JJ|They provided around-the-clock care.
mythologize|VV0|They tend to mythologize the past.
leitmotif|NN|The leitmotif in the music was haunting.
swill|NN|The pigs were fed with swill.
permissiveness|NN|The permissiveness of the parents caused issues.
