|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en|sentence_lemmatized_de
2407|2323|die|die Kindheit||Die Kindheit verbrachte er auf dem Land.|childhood|childhood|He spent his childhood in the countryside.|noun|Günter hat seine Kindheit auf dem Land verbracht.|Günter spent his childhood in the countryside.
2408|2324|das|Ungarn||Ungarn ist ein schönes Reiseziel.|Hungary|Hungary|Hungary is a beautiful travel destination.|noun|Von 1867 bis 1918 gehörte Ungarn zu Österreich.|From 1867 to 1918 Hungary belonged to Austria.
2409|2325|der|der Verbraucher|die Verbraucher|Der Verbraucher verlangt Qualität.|consumer|consumer|The consumer demands quality.|noun|Die Verbraucher entscheiden durch ihren Kauf über den Erfolg des Produkts.|Consumers determine the success of the product through their purchase.
2410|2326|die|die Vielfalt|||diversity, variety|diversity||noun|Im Wald gibt es eine Vielfalt an regionalen Pflanzen.|In the forest there is a variety of regional plants.
2410.001|2326|die|die Vielfalt||Die Vielfalt der Blumen ist erstaunlich.|diversity, variety|variety|The variety of flowers is astonishing.|noun|Im Wald gibt es eine Vielfalt an regionalen Pflanzen.|In the forest there is a variety of regional plants.
2411|2327|die|die Entschuldigung|die Entschuldigungen|Er bot eine Entschuldigung an.|apology, excuse|apology|He offered an apology.|noun|Es gibt keine Entschuldigung für dein schlechtes Verhalten.|There’s no excuse for your bad behavior.
2411.001|2327|die|die Entschuldigung|die Entschuldigungen||apology, excuse|excuse||noun|Es gibt keine Entschuldigung für dein schlechtes Verhalten.|There’s no excuse for your bad behavior.
2412|2328|verb|flüstern|flüstern, flüstert, flüsterte, hat geflüstert|Sie flüstert ihm ein Geheimnis ins Ohr.|to whisper|to whisper|She whispers a secret into his ear.|verb|Wir flüstern, weil Annelies noch schläft.|We’re whispering because Annelies is still asleep.
2413|2329|adv|geradezu||Das war geradezu unmöglich zu lösen.|downright|downright|That was downright impossible to solve.|adverb|Deine Forderungen sind geradezu zum Lachen.|Your demands are downright ridiculous.
2414|2330|die|die Koalition|die Koalitionen|Die Koalition hat sich geeinigt.|coalition|coalition|The coalition has reached an agreement.|noun|Die große Koalition besteht aus zwei Parteien.|The grand coalition consists of two parties.
2415|2331|die|die Mischung|die Mischungen||mixture, blend, combination|mixture||noun|Durch die Mischung der beiden Farben entsteht ein schönes Blau.|The combination of the two colors creates a beautiful blue.
2415.001|2331|die|die Mischung|die Mischungen|Die Mischung schmeckt hervorragend.|mixture, blend, combination|blend|The blend tastes excellent.|noun|Durch die Mischung der beiden Farben entsteht ein schönes Blau.|The combination of the two colors creates a beautiful blue.
2415.002|2331|die|die Mischung|die Mischungen||mixture, blend, combination|combination||noun|Durch die Mischung der beiden Farben entsteht ein schönes Blau.|The combination of the two colors creates a beautiful blue.
2416|2332|adj|zukünftig||Zukünftige Projekte sind geplant.|future|future|Future projects are planned.|adjective|Zukünftige Generationen werden hoffentlich alles besser machen.|Future generations will hopefully do everything better.
2417|2333|verb|erledigen|erledigen, erledigt, erledigte, hat erledigt||to settle, take care|to settle||verb|Er versichert seiner Mutter, alle Aufgaben im Haus zu erledigen.|He assures his mother that he will take care of all the work in the house.
2417.001|2333|verb|erledigen|erledigen, erledigt, erledigte, hat erledigt|Ich werde das sofort erledigen.|to settle, take care|to take care|I will take care of that immediately.|verb|Er versichert seiner Mutter, alle Aufgaben im Haus zu erledigen.|He assures his mother that he will take care of all the work in the house.
2418|2334|die|die Existenz|die Existenzen|Die Existenz des Tieres ist bewiesen.|existence|existence|The existence of the animal is proven.|noun|Die Existenz vieler wilder Tiere ist bedroht.|The existence of many wild animals is threatened.
2419|2335|der|der Geruch|die Gerüche|Der Geruch von Kaffee weckte ihn.|smell|smell|The smell of coffee woke him up.|noun|Ich liebe den Geruch von frischem Kaffee.|I love the smell of fresh coffee.
2420|2336|verb|herkommen|herkommen, kommt her, kam her, ist hergekommen|Ich weiß nicht genau, wo sie herkommt.|to come here|to come here|I don’t know exactly where she comes from.|verb|Simon, komm her, ich möchte mit dir reden!|Simon, come here, I want to talk to you!
2421|2337|der|der Sitz|die Sitze||seat, headquarters|seat||noun|Der Sitz ist frei, also nehme ich Platz.|The seat is vacant, so I’ll take my seat.
2421.001|2337|der|der Sitz|die Sitze|Der Sitz des Unternehmens ist in Berlin.|seat, headquarters|headquarters|The headquarters of the company are in Berlin.|noun|Der Sitz ist frei, also nehme ich Platz.|The seat is vacant, so I’ll take my seat.
2422|2338|die|die Serie|die Serien|Die Serie gewann viele Preise.|series|series|The series won many awards.|noun|Eine Serie von Morden macht den Menschen Angst.|A series of murders scares people.
2423|2339|verb|ahnen|ahnen, ahnt, ahnte, hat geahnt||to sense, suspect|to sense||verb|Tanja ahnt, dass Tim sie überraschen will.|Tanja senses that Tim wants to surprise her.
2423.001|2339|verb|ahnen|ahnen, ahnt, ahnte, hat geahnt|Er ahnte nichts von der Überraschung.|to sense, suspect|to suspect|He didn’t suspect anything about the surprise.|verb|Tanja ahnt, dass Tim sie überraschen will.|Tanja senses that Tim wants to surprise her.
2424|2340|die|die Entfernung|die Entfernungen|Die Entfernung zum Ziel war groß.|distance|distance|The distance to the goal was great.|noun|Wir benutzen das Auto nur für große Entfernungen.|We use the car only for long distances.
2425|2341|verb|stützen|stützen, stützt, stützte, hat gestützt|Das Gebäude stützt sich auf Pfeiler.|to support, base on|to support|The building is supported by pillars.|verb|Die Ergebnisse des Experiments stützen unsere Theorie.|The results of the experiment support our theory.
2425.001|2341|verb|stützen|stützen, stützt, stützte, hat gestützt||to support, base on|to base on||verb|Die Ergebnisse des Experiments stützen unsere Theorie.|The results of the experiment support our theory.
2426|2342|die|die Wahrnehmung|die Wahrnehmungen|Die Wahrnehmung ist subjektiv.|perception|perception|Perception is subjective.|noun|Menschen haben eine ganz unterschiedliche Wahrnehmung von Schmerz.|People have very different perceptions of pain.
2427|2343|die|die Liga|die Ligen|Die Liga plant eine neue Saison.|league|league|The league is planning a new season.|noun|Die Mannschaft, in der mein Bruder spielt, ist eine Liga aufgestiegen.|The team my brother plays in has advanced to a higher league.
2428|2344|der|der Schlaf||Der Schlaf kommt spät in der Nacht.|sleep|sleep|Sleep comes late at night.|noun|Erwachsene brauchen ca. acht Stunden Schlaf pro Tag.|Adults need about eight hours of sleep per day.
2429|2345|verb|einschränken|einschränken, schränkt ein, schränkte ein, hat eingeschränkt|Er schränkt seine Ausgaben ein.|to restrict, reduce|to restrict|He is restricting his expenses.|verb|Ein radikaler Staat schränkt die Menschen stark in ihren Rechten ein.|A radical state severely restricts people’s rights.
2429.001|2345|verb|einschränken|einschränken, schränkt ein, schränkte ein, hat eingeschränkt||to restrict, reduce|to reduce||verb|Ein radikaler Staat schränkt die Menschen stark in ihren Rechten ein.|A radical state severely restricts people’s rights.
2430|2346|die|die Kette|die Ketten|Die Kette riss plötzlich unter der Last.|chain|chain|The chain suddenly snapped under the weight.|noun|Luises Großmutter schenkt ihr eine goldene Kette zum Abschluss.|Luise’s grandmother gives her a golden chain for her graduation.
2431|2347|die|die Säure|die Säuren|Die Säure reagierte mit dem Metall.|acid|acid|The acid reacted with the metal.|noun|Bei dem Experiment musst du aufpassen, dass keine Säure ins Auge kommt.|In the experiment, you have to be careful not to get acid in your eye.
2432|2348|die|die Strafe|die Strafen||punishment, penalty|punishment||noun|Als Strafe muss Carmen Geld bezahlen.|As a penalty, Carmen has to pay money.
2432.001|2348|die|die Strafe|die Strafen|Die Strafe folgt auf das Vergehen.|punishment, penalty|penalty|The penalty follows the offense.|noun|Als Strafe muss Carmen Geld bezahlen.|As a penalty, Carmen has to pay money.
2433|2349|der|der Franzose|die Franzosen|Der Franzose spricht gut Deutsch.|Frenchman, French|Frenchman|The Frenchman speaks German well.|noun|In Frankreich leben über 66 Millionen Franzosen.|Over 66 million French people live in France.
2433.001|2349|der|der Franzose|die Franzosen||Frenchman, French|French||noun|In Frankreich leben über 66 Millionen Franzosen.|Over 66 million French people live in France.
2434|2350|das|das Konzert|die Konzerte|Das Konzert endete mit großem Applaus.|concert|concert|The concert ended with great applause.|noun|Die Band der Universität gibt heute Abend ein Konzert.|The university band’s giving a concert tonight.
2435|2351|der|der Kontext|die Kontexte|Der Kontext ist wichtig für das Verständnis.|context|context|The context is important for understanding.|noun|Das Museum eröffnet eine neue Ausstellung im Kontext der Geschichte von Deutschland.|The museum opens a new exhibition in the context of the history of Germany.
2436|2352|der|der Transport|die Transporte|Der Transport verlief reibungslos.|transportation|transportation|The transportation went smoothly.|noun|Weil Johanna umzieht, braucht sie einen großen Wagen für den Transport ihrer Sachen.|Because Johanna is moving, she needs a big truck for the transport of her things.
2437|2353|verb|abbauen|abbauen, baut ab, baute ab, hat abgebaut||to reduce, dismantle|to reduce||verb|Sport ist ein effektives Mittel, um Stress abzubauen.|Sport is an effective tool for reducing stress.
2437.001|2353|verb|abbauen|abbauen, baut ab, baute ab, hat abgebaut|Er baut den alten Schuppen ab.|to reduce, dismantle|to dismantle|He is dismantling the old shed.|verb|Sport ist ein effektives Mittel, um Stress abzubauen.|Sport is an effective tool for reducing stress.
2438|2354|verb|anregen|anregen, regt an, regte an, hat angeregt||to encourage, suggest, stimulate|to encourage||verb|Das Thema regt zur Diskussion an.|The subject stimulates discussion.
2438.001|2354|verb|anregen|anregen, regt an, regte an, hat angeregt||to encourage, suggest, stimulate|to suggest||verb|Das Thema regt zur Diskussion an.|The subject stimulates discussion.
2438.002|2354|verb|anregen|anregen, regt an, regte an, hat angeregt|Das Buch regt zum Nachdenken an.|to encourage, suggest, stimulate|to stimulate|The book stimulates thought.|verb|Das Thema regt zur Diskussion an.|The subject stimulates discussion.
2439|2355|verb|aufwachsen|aufwachsen, wächst auf, wuchs auf, ist aufgewachsen|Er wuchs in einer kleinen Stadt auf.|to grow up|to grow up|He grew up in a small town.|verb|Das Kind wächst in einer guten Familie auf.|The child grows up in a good family.
2440|2356|verb|beherrschen|beherrschen, beherrscht, beherrschte, hat beherrscht||to control, rule, master|to control||verb|Der König beherrscht die Menschen in seinem Land.|The king rules the people of his country.
2440.001|2356|verb|beherrschen|beherrschen, beherrscht, beherrschte, hat beherrscht||to control, rule, master|to rule||verb|Der König beherrscht die Menschen in seinem Land.|The king rules the people of his country.
2440.002|2356|verb|beherrschen|beherrschen, beherrscht, beherrschte, hat beherrscht|Er beherrscht die Sprache gut.|to control, rule, master|to master|He has mastered the language well.|verb|Der König beherrscht die Menschen in seinem Land.|The king rules the people of his country.
2441|2357|das|Island||Island ist sehr kalt im Winter.|Iceland|Iceland|Iceland is very cold in winter.|noun|Island ist bekannt für seine schöne Landschaft.|Iceland is known for its beautiful landscape.
2442|2358|das|das Kreuz|die Kreuze|Das rote Kreuz ist ein Symbol der Hilfe.|cross|cross|The red cross is a symbol of help.|noun|In der Kirche hängt ein großes Kreuz aus Holz.|A large wooden cross hangs in the church.
2443|2359|der|der Motor|die Motoren||motor, engine|motor||noun|Der Motor von Christinas Auto macht komische Geräusche.|The engine of Christina’s car makes strange noises.
2443.001|2359|der|der Motor|die Motoren|Der Motor des Autos war defekt.|motor, engine|engine|The car’s engine was defective.|noun|Der Motor von Christinas Auto macht komische Geräusche.|The engine of Christina’s car makes strange noises.
2444|2360|die|die Sendung|die Sendungen|Die Sendung lief gestern im Fernsehen.|broadcast|broadcast|The broadcast was on TV yesterday.|noun|Heute Abend kommt eine spannende politische Sendung im Fernsehen.|There’s an exciting political broadcast on TV tonight.
2445|2361|die|die Aktie|die Aktien|Die Aktie stieg gestern um 5%.|share|share|The share price rose by 5% yesterday.|noun|Er investiert sein Geld in Aktien, die er später mit Gewinn wieder verkaufen will.|He invests his money in shares, which he later wants to sell at a profit.
2446|2362|adv|höchstens||Es dauert höchstens eine Stunde.|at most|at most|It takes at most an hour.|adverb|Karl trinkt höchstens zwei Gläser Wein, damit er sich morgen nicht schlecht fühlt.|Karl drinks at most two glasses of wine, so that he doesn’t feel bad tomorrow.
